SMD,2022-10-19 reg,2024-09-04 reg,2022-11-08 cast,2024-11-05 unofficial,2022-11-08 pct of whole,2022 turnout
3E08,69,46,32,128,0.0011465888801660547,46.3768115942029
3F01,1613,1452,970,1159,0.03475597543003354,60.136391816491006
3F02,1309,1062,641,773,0.022967608505826284,48.96867838044309
3F03,1636,1397,930,1158,0.03332273932982596,56.84596577017115
3F04,1576,1264,699,872,0.02504580085112726,44.35279187817259
3F05,1350,1080,624,854,0.022358483163238067,46.22222222222222
3F06,1596,1499,941,1110,0.033716879257383044,58.959899749373434
4A01,1777,1736,1170,997,0.041922155931071375,65.84130557118739
4A02,1734,1602,1050,1209,0.03762244763044867,60.553633217993074
4A03,1091,1276,520,1029,0.01863206930269839,47.662694775435384
4A04,1263,1161,545,747,0.01952784186532812,43.151227236737924
4A05,1168,1075,422,575,0.015120640857189846,36.13013698630137
4A06,873,800,209,392,0.007488658623584545,23.940435280641466
4A07,860,764,295,461,0.010570116239030817,34.30232558139535
4B01,1493,1371,702,863,0.025153293558642827,47.01942397856664
4B02,1469,1374,664,875,0.023791719263445636,45.200816882232814
4B03,1694,1594,837,1081,0.029990465396843368,49.40968122786305
4B04,1676,1484,771,1012,0.027625625831500883,46.00238663484487
4B05,1422,1308,650,802,0.023290086628372987,45.71026722925457
4B06,1693,1478,867,1082,0.031065392471999045,51.21086828115771
4B07,1580,1428,831,949,0.029775479981812233,52.594936708860764
4B08,1469,1274,637,851,0.022824284895805527,43.36283185840708
4B09,1784,1626,810,1107,0.029023031029203263,45.403587443946186
4B10,1631,1442,762,956,0.027303147708954176,46.71980380134887
4C01,1334,1235,526,733,0.018847054717729524,39.430284857571216
4C02,1537,1376,623,816,0.022322652260732878,40.533506831489916
4C03,1657,1467,726,954,0.026013235218767364,43.81412190706095
4C04,1371,1186,563,703,0.020172798110421525,41.06491611962071
4C05,1581,1408,732,901,0.026228220633798503,46.29981024667932
4C06,1577,1501,738,927,0.02644320604882964,46.797717184527585
4C07,1652,1528,768,941,0.027518133123985315,46.48910411622276
4D01,1294,1188,430,676,0.015407288077231362,33.23029366306028
4D02,1280,1010,484,681,0.01734215681251158,37.8125
4D03,1203,1025,412,654,0.014762331832137956,34.2477140482128
4D04,1690,1493,658,899,0.0235767338484145,38.93491124260355
4D05,1213,1074,438,636,0.015693935297272876,36.108821104699096
4D06,1729,1554,748,981,0.026801515073881527,43.262001156738
4D07,1627,1508,740,922,0.026514867853840017,45.482483097725876
4D08,1513,1345,629,816,0.022537637675764013,41.57303370786517
4E01,1207,955,460,633,0.01648221515238704,38.11101905550952
4E02,1052,980,472,581,0.016912185982449306,44.866920152091254
4E03,1456,1331,676,858,0.024221690093507907,46.42857142857143
4E04,1612,1504,669,858,0.023970873775971582,41.50124069478908
4E05,1406,1285,623,795,0.022322652260732878,44.31009957325747
4E06,1712,1638,1013,1152,0.03629670423775667,59.17056074766355
5A01,1624,1431,795,1002,0.02848556749162542,48.95320197044335
5A02,1744,1653,863,1115,0.03092206886197829,49.48394495412844
5A03,1658,1556,830,1134,0.029739649079307044,50.06031363088058
5A04,87,32,18,27,0.0006449562450934058,20.689655172413794
5A05,930,744,288,429,0.010319299921494492,30.967741935483872
5A06,1228,1030,459,619,0.01644638424988185,37.37785016286645
5A07,749,656,213,339,0.0076319822336053025,28.437917222963954
5A08,1667,1547,833,1038,0.02984714178682261,49.97000599880024
5A09,1296,1053,467,705,0.016733031469923363,36.03395061728395
5B01,1493,1435,835,1014,0.029918803591832993,55.92766242464836
5B02,1731,1601,894,1048,0.03203282683963915,51.64644714038128
5B03,1650,1440,868,1010,0.031101223374504237,52.6060606060606
5B04,1694,1543,758,1042,0.027159824098933423,44.74616292798111
5B05,1766,1594,892,1043,0.03196116503462878,50.50962627406569
5B06,1591,1471,791,982,0.028342243881604667,49.717159019484605
5B07,1720,1609,808,1079,0.02895136922419288,46.97674418604651
5C01,1686,1589,766,1063,0.027446471318974937,45.43297746144721
5C02,1686,1567,690,980,0.024723322728580556,40.92526690391459
5C03,1672,1555,694,987,0.024866646338601313,41.50717703349282
5C04,995,833,372,511,0.013329095731930387,37.38693467336683
5C05,1717,1451,589,853,0.021104401575556445,34.30401863715783
5C06,1698,1567,459,775,0.01644638424988185,27.03180212014134
5C07,1451,1401,634,878,0.02271679218828996,43.694004135079254
5D01,1034,1470,559,1176,0.020029474500400768,54.06189555125726
5D02,1152,1023,239,414,0.008563585698740222,20.74652777777778
5D03,1707,1437,708,817,0.025368278973673962,41.476274165202106
5D04,1677,1433,632,797,0.02264513038327958,37.68634466308885
5D05,1558,1317,509,690,0.018237929375141307,32.670089858793325
5D06,1707,1541,639,878,0.022895946700815906,37.434094903339194
5D07,1502,1289,419,703,0.01501314814967428,27.896138482023968
5D08,1440,1241,434,600,0.015550611687252119,30.138888888888886
5D09,1341,1051,293,543,0.010498454434020438,21.84936614466816
5E01,2158,1662,690,980,0.024723322728580556,31.974050046339205
5E02,1792,1658,678,909,0.024293351898518285,37.83482142857143
5E03,1896,1740,794,963,0.028449736589120235,41.87763713080169
5E04,1736,1502,754,841,0.027016500488912666,43.4331797235023
5E05,1689,1555,724,906,0.02594157341375699,42.8656009473061
5E06,1601,1378,568,793,0.02035195262294747,35.477826358525924
5F01,1442,1279,627,849,0.022465975870753635,43.48127600554785
5F02,1276,1315,551,939,0.019742827280359254,43.18181818181818
5F03,1243,1214,324,648,0.011609212411681304,26.06596942880129
5F04,1861,1673,745,953,0.02669402236636596,40.032240730789894
5F05,1790,1593,748,902,0.026801515073881527,41.787709497206706
5F06,1736,1879,785,1420,0.028127258466573532,45.21889400921659
5F07,1978,1707,726,915,0.026013235218767364,36.70374115267948
6/8F01,1397,1294,574,860,0.020566938037978606,41.088045812455256
6/8F02,2548,2363,986,1647,0.03532926987011656,38.69701726844584
6/8F03,1610,1352,727,981,0.026049066121272557,45.15527950310559
6/8F04,2187,2312,1003,1734,0.03593839521270478,45.86191129401006
6/8F05,1856,1718,757,1273,0.027123993196428234,40.786637931034484
6A01,1736,1532,747,886,0.02676568417137634,43.02995391705069
6A02,2036,1614,917,1115,0.03285693759725851,45.03929273084479
6A03,1824,1610,963,1126,0.034505159112497207,52.79605263157895
6A04,1782,1580,1047,1136,0.0375149549229331,58.75420875420876
6A05,1851,1564,888,1064,0.031817841424608015,47.9740680713128
6A06,1801,1549,860,995,0.030814576154462724,47.751249305941144
6A07,1615,1490,854,986,0.03059959073943159,52.87925696594428
6B01,1494,1350,798,943,0.02859306019914099,53.41365461847389
6B02,1688,1463,861,1052,0.03085040705696791,51.007109004739334
6B03,1767,1532,809,997,0.02898720012669807,45.78381437464629
6B04,1524,1303,786,934,0.028163089369078718,51.574803149606296
6B05,1619,1369,854,1001,0.03059959073943159,52.748610253242745
6B06,1802,1619,968,1146,0.03468431362502316,53.718091009988896
6B07,1912,1806,1065,1297,0.03815991116802651,55.70083682008368
6B08,1711,1462,552,797,0.019778658182864443,32.261835184102864
6B09,1924,1715,939,1178,0.033645217452372665,48.804573804573806
6C01,1713,1362,755,724,0.027052331391417855,44.07472270869819
6C02,1594,1420,802,925,0.02873638380916175,50.31367628607277
6C03,1698,1430,890,985,0.0318895032296184,52.41460541813898
6C04,1563,1384,702,885,0.025153293558642827,44.913627639155465
6C05,1779,1569,878,1035,0.03145953239955612,49.353569421023046
6C06,1852,1485,795,823,0.02848556749162542,42.926565874730024
6C07,1513,1773,697,1117,0.02497413904611688,46.06741573033708
6D01,1297,1185,555,831,0.01988615089038001,42.791056283731685
6D02,1803,1744,748,1124,0.026801515073881527,41.48641153632834
6D03,1662,1415,703,896,0.025189124461148012,42.29843561973526
6D04,1482,1097,541,808,0.019384518255307362,36.50472334682861
6D05,1614,1366,527,802,0.018882885620234713,32.65179677819083
6D06,1840,1561,931,1177,0.03335857023233116,50.59782608695652
6D07,1738,1677,903,1332,0.03235530496218586,51.956271576524735
